subject,difficulty,total_chapters,chapters_done,days_until_exam,daily_free_hours,mid_score,study_hours_needed,priority
Data Structures,hard,8,4,12,3.7,76,9.4,low
Operating Systems,medium,14,0,28,3.8,78,26.0,low
Computer Networks,hard,7,6,13,6.2,60,2.5,low
Artificial Intelligence,medium,15,7,14,4.3,47,14.8,low
Software Engineering,medium,14,12,20,3.3,67,3.4,low
Probability & Stats,medium,13,5,18,6.9,44,14.5,low
Software Engineering,medium,14,4,29,1.7,56,18.1,low
Artificial Intelligence,medium,10,5,28,3.5,76,7.6,low
Data Structures,medium,7,6,6,1.3,75,2.1,medium
Software Engineering,easy,13,1,29,5.4,93,15.4,low
Linear Algebra,hard,11,0,11,6.5,58,27.8,low
Operating Systems,medium,13,6,30,2.7,66,12.1,low
Computer Networks,medium,10,6,2,6.2,92,7.5,high
Artificial Intelligence,hard,15,9,28,2.8,73,15.5,low
Computer Networks,medium,7,2,23,6.5,50,9.3,low
